Gender,Event,Location,Year,Medal,Name,Nationality,Time,Medal_S,Name_S,Nationality_S,Result_S,Medal_B,Name_B,Nationality_B,Result_B,Distance
W,200M Women,Rio,2016,G,Elaine THOMPSON,JAM,0,S,Dafne SCHIPPERS,NED,21.88,B,Tori BOWIE,USA,22.15,0
W,200M Women,Beijing,2008,G,Veronica CAMPBELL-BROWN,JAM,0,S,Allyson FELIX,USA,21.93,B,Kerron STEWART,JAM,22.00,0
W,200M Women,Sydney,2000,G,Pauline DAVIS,BAH,0,S,Susanthika JAYASINGHE,SRI,22.28,B,Beverly MCDONALD,JAM,22.35,0
W,200M Women,Barcelona,1992,G,Gwen TORRENCE,USA,0,S,Juliet CUTHBERT,JAM,22.02,B,Merlene OTTEY,JAM,22.09,0
W,200M Women,Seoul,1988,G,Florence GRIFFITH JOYNER,USA,0,S,Grace JACKSON,JAM,21.72,B,Heike DRECHSLER,GDR,21.95,0
W,200M Women,Los Angeles,1984,G,Valerie BRISCO,USA,0,S,Florence GRIFFITH JOYNER,USA,22.04,B,Merlene OTTEY,JAM,22.09,0
W,200M Women,Montreal,1976,G,Barbel ECKERT-WOCKEL,GDR,0,S,Annegret RICHTER-IRRGANG,FRG,22.39,B,Renate STECHER,GDR,22.47,0
W,200M Women,Mexico,1968,G,Irena KIRSZENSTEIN,POL,0,S,Raelene Ann BOYLE,AUS,22.7,B,Jennifer LAMY,AUS,22.8,0
W,200M Women,Rome,1960,G,Wilma RUDOLPH,USA,0,S,Jutta HEINE,EUA,24.4,B,Dorothy HYMAN,GBR,24.7,0
W,200M Women,Helsinki,1952,G,Marjorie JACKSON,AUS,0,S,Bertha BROUWER,NED,24.2,B,Nadezhda KHNYKINA,URS,24.2,0
W,200M Women,London,2012,G,Allyson FELIX,USA,0,S,Shelly-Ann FRASER-PRYCE,JAM,22.09,B,Carmelita JETER,USA,22.14,0
W,200M Women,Athens,2004,G,Veronica CAMPBELL-BROWN,JAM,0,S,Allyson FELIX,USA,22.18,B,Debbie FERGUSON-MCKENZIE,BAH,22.3,0
