Gender,Event,Location,Year,Medal,Name,Nationality,Time,Medal_S,Name_S,Nationality_S,Result_S,Medal_B,Name_B,Nationality_B,Result_B,Distance
W,200M Women,Atlanta,1996,G,Marie-Jose PEREC,FRA,0,S,Merlene OTTEY,JAM,22.24,B,Mary ONYALI,NGR,22.38,0
W,200M Women,Moscow,1980,G,Barbel ECKERT-WOCKEL,GDR,0,S,Natalia BOCHINA,URS,22.19,B,Merlene OTTEY,JAM,22.2,0
W,200M Women,Munich,1972,G,Renate STECHER,GDR,0,S,Raelene Ann BOYLE,AUS,22.45,B,Irena KIRSZENSTEIN,POL,22.74,0
W,200M Women,Tokyo,1964,G,Edith MCGUIRE,USA,0,S,Irena KIRSZENSTEIN,POL,23.1,B,Marilyn BLACK,AUS,23.1,0
W,200M Women,Melbourne / Stockholm,1956,G,Betty CUTHBERT,AUS,0,S,Christa STUBNICK,EUA,23.7,B,Marlene MATHEWS-WILLARD,AUS,23.8,0
W,200M Women,London,1948,G,Fanny BLANKERS-KOEN,NED,0,S,Audrey WILLIAMSON,GBR,25.1,B,Audrey PATTERSON,USA,25.2,0
W,200M Women,Rio,2016,G,Elaine THOMPSON,JAM,21.78,S,Dafne SCHIPPERS,NED,21.88,B,Tori BOWIE,USA,22.15,200
W,200M Women,Beijing,2008,G,Veronica CAMPBELL-BROWN,JAM,21.74,S,Allyson FELIX,USA,21.93,B,Kerron STEWART,JAM,22.00,200
W,200M Women,Sydney,2000,G,Pauline DAVIS,BAH,22.27,S,Susanthika JAYASINGHE,SRI,22.28,B,Beverly MCDONALD,JAM,22.35,200
W,200M Women,Barcelona,1992,G,Gwen TORRENCE,USA,21.81,S,Juliet CUTHBERT,JAM,22.02,B,Merlene OTTEY,JAM,22.09,200
W,200M Women,Seoul,1988,G,Florence GRIFFITH JOYNER,USA,21.34,S,Grace JACKSON,JAM,21.72,B,Heike DRECHSLER,GDR,21.95,200
W,200M Women,Los Angeles,1984,G,Valerie BRISCO,USA,21.81,S,Florence GRIFFITH JOYNER,USA,22.04,B,Merlene OTTEY,JAM,22.09,200
W,200M Women,Montreal,1976,G,Barbel ECKERT-WOCKEL,GDR,22.37,S,Annegret RICHTER-IRRGANG,FRG,22.39,B,Renate STECHER,GDR,22.47,200
W,200M Women,Mexico,1968,G,Irena KIRSZENSTEIN,POL,22.5,S,Raelene Ann BOYLE,AUS,22.7,B,Jennifer LAMY,AUS,22.8,200
W,200M Women,Rome,1960,G,Wilma RUDOLPH,USA,24.0,S,Jutta HEINE,EUA,24.4,B,Dorothy HYMAN,GBR,24.7,200
W,200M Women,Helsinki,1952,G,Marjorie JACKSON,AUS,23.7,S,Bertha BROUWER,NED,24.2,B,Nadezhda KHNYKINA,URS,24.2,200
W,200M Women,London,2012,G,Allyson FELIX,USA,21.88,S,Shelly-Ann FRASER-PRYCE,JAM,22.09,B,Carmelita JETER,USA,22.14,200
W,200M Women,Athens,2004,G,Veronica CAMPBELL-BROWN,JAM,22.05,S,Allyson FELIX,USA,22.18,B,Debbie FERGUSON-MCKENZIE,BAH,22.3,200
W,200M Women,Atlanta,1996,G,Marie-Jose PEREC,FRA,22.12,S,Merlene OTTEY,JAM,22.24,B,Mary ONYALI,NGR,22.38,200
W,200M Women,Moscow,1980,G,Barbel ECKERT-WOCKEL,GDR,22.03,S,Natalia BOCHINA,URS,22.19,B,Merlene OTTEY,JAM,22.2,200
W,200M Women,Munich,1972,G,Renate STECHER,GDR,22.4,S,Raelene Ann BOYLE,AUS,22.45,B,Irena KIRSZENSTEIN,POL,22.74,200
W,200M Women,Tokyo,1964,G,Edith MCGUIRE,USA,23.0,S,Irena KIRSZENSTEIN,POL,23.1,B,Marilyn BLACK,AUS,23.1,200
W,200M Women,Melbourne / Stockholm,1956,G,Betty CUTHBERT,AUS,23.4,S,Christa STUBNICK,EUA,23.7,B,Marlene MATHEWS-WILLARD,AUS,23.8,200
W,200M Women,London,1948,G,Fanny BLANKERS-KOEN,NED,24.4,S,Audrey WILLIAMSON,GBR,25.1,B,Audrey PATTERSON,USA,25.2,200
