Gender,Event,Location,Year,Medal,Name,Nationality,Time,Medal_S,Name_S,Nationality_S,Result_S,Medal_B,Name_B,Nationality_B,Result_B,Distance
M,100M Men,Rio,2016,G,Usain BOLT,JAM,0,S,Justin GATLIN,USA,9.89,B,Andre DE GRASSE,CAN,9.91,0
M,100M Men,Beijing,2008,G,Usain BOLT,JAM,0,S,Richard THOMPSON,TTO,9.89,B,Walter DIX,USA,9.91,0
M,100M Men,Sydney,2000,G,Maurice GREENE,USA,0,S,Ato BOLDON,TTO,9.99,B,Obadele THOMPSON,BAR,10.04,0
M,100M Men,Seoul,1988,G,Carl LEWIS,USA,0,S,Linford CHRISTIE,GBR,9.97,B,Calvin SMITH,USA,9.99,0
M,100M Men,Barcelona,1992,G,Linford CHRISTIE,GBR,0,S,Frank FREDERICKS,NAM,10.02,B,Dennis MITCHELL,USA,10.04,0
M,100M Men,Los Angeles,1984,G,Carl LEWIS,USA,0,S,Sam GRADDY,USA,10.19,B,Ben JOHNSON,CAN,10.22,0
M,100M Men,Montreal,1976,G,Hasely CRAWFORD,TTO,0,S,Donald QUARRIE,JAM,10.08,B,Valery BORZOV,URS,10.14,0
M,100M Men,Mexico,1968,G,Jim HINES,USA,0,S,Lennox MILLER,JAM,10.0,B,Charlie GREENE,USA,10.0,0
M,100M Men,Rome,1960,G,Armin HARY,EUA,0,S,Dave SIME,USA,10.2,B,Peter RADFORD,GBR,10.3,0
M,100M Men,Helsinki,1952,G,Lindy REMIGINO,USA,0,S,Herbert MCKENLEY,JAM,10.4,B,Emmanuel McDONALD BAILEY,GBR,10.4,0
M,100M Men,Berlin,1936,G,Jesse OWENS,USA,0,S,Ralph METCALFE,USA,10.4,B,Martinus OSENDARP,NED,10.5,0
M,100M Men,Amsterdam,1928,G,Percy WILLIAMS,CAN,0,S,Jack LONDON,GBR,10.9,B,Georg LAMMERS,GER,10.9,0
M,100M Men,Antwerp,1920,G,Charles PADDOCK,USA,0,S,Morris KIRKSEY,USA,10.8,B,Harry EDWARD,GBR,10.9,0
M,100M Men,London,1908,G,Reggie WALKER,RSA,0,S,John RECTOR,USA,None,B,Robert KERR,CAN,None,0
M,100M Men,Paris,1900,G,Frank JARVIS,USA,0,S,Walter TEWKSBURY,USA,11.1,B,Stanley ROWLEY,AUS,11.2,0
M,100M Men,London,2012,G,Usain BOLT,JAM,0,S,Yohan BLAKE,JAM,9.75,B,Justin GATLIN,USA,9.79,0
M,100M Men,Athens,2004,G,Justin GATLIN,USA,0,S,Francis OBIKWELU,POR,9.86,B,Maurice GREENE,USA,9.87,0
M,100M Men,Atlanta,1996,G,Donovan BAILEY,CAN,0,S,Frank FREDERICKS,NAM,9.89,B,Ato BOLDON,TTO,9.9,0
M,100M Men,Moscow,1980,G,Allan WELLS,GBR,0,S,Silvio LEONARD SARRIA,CUB,10.25,B,Peter PETROV,BUL,10.39,0
M,100M Men,Munich,1972,G,Valery BORZOV,URS,0,S,Robert TAYLOR,USA,10.24,B,Lennox MILLER,JAM,10.33,0
M,100M Men,Tokyo,1964,G,Bob HAYES,USA,0,S,Enrique FIGUEROLA,CUB,10.2,B,Harry JEROME,CAN,10.2,0
M,100M Men,Melbourne / Stockholm,1956,G,Bobby MORROW,USA,0,S,Thane BAKER,USA,10.5,B,Hector HOGAN,AUS,10.6,0
M,100M Men,London,1948,G,Harrison DILLARD,USA,0,S,Barney EWELL,USA,10.4,B,Lloyd LABEACH,PAN,10.6,0
M,100M Men,Los Angeles,1932,G,Eddie TOLAN,USA,0,S,Ralph METCALFE,USA,10.3,B,Arthur JONATH,GER,10.4,0
M,100M Men,Paris,1924,G,Harold ABRAHAMS,GBR,0,S,Jackson SCHOLZ,USA,10.7,B,Arthur PORRITT,NZL,10.8,0
M,100M Men,Stockholm,1912,G,Ralph CRAIG,USA,0,S,Alvah MEYER,USA,10.9,B,Donald LIPPINCOTT,USA,10.9,0
M,100M Men,St Louis,1904,G,Archie HAHN,USA,0,S,Nate CARTMELL,USA,11.2,B,William HOGENSON,USA,11.2,0
M,100M Men,Athens,1896,G,Thomas BURKE,USA,0,S,Fritz HOFMANN,GER,12.2,B,Francis LANE,USA,12.6,0
M,100M Men,Rio,2016,G,Usain BOLT,JAM,9.81,S,Justin GATLIN,USA,9.89,B,Andre DE GRASSE,CAN,9.91,100
M,100M Men,Beijing,2008,G,Usain BOLT,JAM,9.69,S,Richard THOMPSON,TTO,9.89,B,Walter DIX,USA,9.91,100
M,100M Men,Sydney,2000,G,Maurice GREENE,USA,9.87,S,Ato BOLDON,TTO,9.99,B,Obadele THOMPSON,BAR,10.04,100
M,100M Men,Seoul,1988,G,Carl LEWIS,USA,9.92,S,Linford CHRISTIE,GBR,9.97,B,Calvin SMITH,USA,9.99,100
M,100M Men,Barcelona,1992,G,Linford CHRISTIE,GBR,9.96,S,Frank FREDERICKS,NAM,10.02,B,Dennis MITCHELL,USA,10.04,100
M,100M Men,Los Angeles,1984,G,Carl LEWIS,USA,9.99,S,Sam GRADDY,USA,10.19,B,Ben JOHNSON,CAN,10.22,100
M,100M Men,Montreal,1976,G,Hasely CRAWFORD,TTO,10.06,S,Donald QUARRIE,JAM,10.08,B,Valery BORZOV,URS,10.14,100
M,100M Men,Mexico,1968,G,Jim HINES,USA,9.9,S,Lennox MILLER,JAM,10.0,B,Charlie GREENE,USA,10.0,100
M,100M Men,Rome,1960,G,Armin HARY,EUA,10.2,S,Dave SIME,USA,10.2,B,Peter RADFORD,GBR,10.3,100
M,100M Men,Helsinki,1952,G,Lindy REMIGINO,USA,10.4,S,Herbert MCKENLEY,JAM,10.4,B,Emmanuel McDONALD BAILEY,GBR,10.4,100
M,100M Men,Berlin,1936,G,Jesse OWENS,USA,10.3,S,Ralph METCALFE,USA,10.4,B,Martinus OSENDARP,NED,10.5,100
M,100M Men,Amsterdam,1928,G,Percy WILLIAMS,CAN,10.8,S,Jack LONDON,GBR,10.9,B,Georg LAMMERS,GER,10.9,100
M,100M Men,Antwerp,1920,G,Charles PADDOCK,USA,10.8,S,Morris KIRKSEY,USA,10.8,B,Harry EDWARD,GBR,10.9,100
M,100M Men,London,1908,G,Reggie WALKER,RSA,10.8,S,John RECTOR,USA,None,B,Robert KERR,CAN,None,100
M,100M Men,Paris,1900,G,Frank JARVIS,USA,11.0,S,Walter TEWKSBURY,USA,11.1,B,Stanley ROWLEY,AUS,11.2,100
M,100M Men,London,2012,G,Usain BOLT,JAM,9.63,S,Yohan BLAKE,JAM,9.75,B,Justin GATLIN,USA,9.79,100
M,100M Men,Athens,2004,G,Justin GATLIN,USA,9.85,S,Francis OBIKWELU,POR,9.86,B,Maurice GREENE,USA,9.87,100
M,100M Men,Atlanta,1996,G,Donovan BAILEY,CAN,9.84,S,Frank FREDERICKS,NAM,9.89,B,Ato BOLDON,TTO,9.9,100
M,100M Men,Moscow,1980,G,Allan WELLS,GBR,10.25,S,Silvio LEONARD SARRIA,CUB,10.25,B,Peter PETROV,BUL,10.39,100
M,100M Men,Munich,1972,G,Valery BORZOV,URS,10.14,S,Robert TAYLOR,USA,10.24,B,Lennox MILLER,JAM,10.33,100
M,100M Men,Tokyo,1964,G,Bob HAYES,USA,10.0,S,Enrique FIGUEROLA,CUB,10.2,B,Harry JEROME,CAN,10.2,100
M,100M Men,Melbourne / Stockholm,1956,G,Bobby MORROW,USA,10.5,S,Thane BAKER,USA,10.5,B,Hector HOGAN,AUS,10.6,100
M,100M Men,London,1948,G,Harrison DILLARD,USA,10.3,S,Barney EWELL,USA,10.4,B,Lloyd LABEACH,PAN,10.6,100
M,100M Men,Los Angeles,1932,G,Eddie TOLAN,USA,10.3,S,Ralph METCALFE,USA,10.3,B,Arthur JONATH,GER,10.4,100
